mine density,score simp
1,0.48
2,0.8
3,1.12
4,1.48
5,1.68
6,2.52
7,2.64
8,2.76
9,3.2
10,2.8
11,3.44
12,4.12
13,3.76
14,4.72
15,4.36
16,5.2
17,5
18,5
19,5.36
20,5.92
21,5.64
22,6.44
23,5.44
24,6.56
25,7.68
26,6.88
27,7.24
28,7.08
29,7.84
30,7.12
31,6.96
32,7.6
33,7.76
34,8.12
35,8.4
36,9.52
37,8.68
38,9.28
39,8.92
40,10.36
41,9.72
42,9.52
43,10.36
44,9.28
45,10.52
46,11.44
47,11.48
48,11.2
49,11
50,10.52
51,10.44
52,10.52
53,11.56
54,11
55,11.84
56,11.52
57,10.92
58,11.56
59,11.04
60,10.96
61,12.88
62,14
63,14.56
64,12.84
65,13.12
66,15.64
67,15.4
68,13.36
69,13.64
70,14.08
71,14.64
72,14.52
73,15.72
74,14.92
75,15.32
76,16.48
77,15.56
78,15.6
79,16.12
80,16.72
81,17.84
82,15.64
83,16.08
84,17.08
85,16.96
86,18.36
87,17.24
88,18
89,19
90,18.36
91,19.68
92,20.2
93,20.72
94,21.2
95,18.16
96,21.04
97,21.24
98,21.2
99,18.4
100,22.48
101,21.28
102,21.16
103,22.36
104,22
105,21.6
106,21.32
107,23.12
108,24.64
109,23.2
110,26.4
111,24.24
112,25.4
113,27.08
114,25.64
115,25.48
116,25.24
117,27.68
118,27.44
119,27.12
120,29.2
121,28.48
122,28.24
123,28.52
124,29.32
125,27.92
126,30.08
127,31.2
128,30.76
129,29.28
130,30.64
131,31.36
132,31.92
133,30.84
134,33.8
135,31.44
136,32.04
137,34.92
138,31.4
139,35.52
140,34.48
141,34.88
142,36.96
143,36.48
144,36.24
145,35.64
146,36.48
147,38.48
148,35.56
149,38.4
150,37.8
151,40.6
152,40.92
153,40.08
154,43.44
155,44.12
156,43
157,41.04
158,43.56
159,39.68
160,45.28
161,44.6
162,37.8
163,41.72
164,44.44
165,44.8
166,43.04
167,48.76
168,46.4
169,41.44
170,47.2
171,49.8
172,43.88
173,47.44
174,48.24
175,46.96
176,48.4
177,48.44
178,46.6
179,48.32
180,50.68
181,50.88
182,53.72
183,51.68
184,51.48
185,52.68
186,49.92
187,47.04
188,50.56
189,48.8
190,51.64
191,45.96
192,45.88
193,47.36
194,50.96
195,51.76
196,46.96
197,46.84
198,47.68
199,47.6
200,43.84
201,43.4
202,47.08
203,43.64
204,41.56
205,41.88
206,43.16
207,40.8
208,39.96
209,35
210,34.04
211,37.12
212,31.28
213,30.12
214,30
215,30.08
216,26.8
217,23.48
218,21.28
219,17.56
220,16.2
221,12.84
222,9.48
223,6.68
224,2.68
